,Straight,Cubic,Bezier
Mean Manipulability,0.4329599090837861,0.430790939670209,0.36034394884787685
Min Manipulability,0.2328504301113565,0.2328504301113565,0.2328504301113565
Mean Condition,7.614336277478474,7.619875915488463,8.16255456886708
Max Condition,8.97049428469241,8.97049428469241,8.97049428469241
Max Velocity,151.81412080302837,225.87311722476443,434.2250068086662
RMS Velocity,87.58412498921703,95.13571601761195,183.23654637196483
Max Acceleration,218.58571582149648,847.997330259692,743.532012077223
RMS Acceleration,94.81706241490382,325.5085459133762,550.404427036289
Max Stroke,147.196026863268,147.196026863268,165.80912557401348
