Time,Manipulability,ConditionNumber,L1,L2,L3,L4,L5,L6,V1,V2,V3,V4,V5,V6,A1,A2,A3,A4,A5,A6
0.0,,6.468491524531705e+18,500.0,500.0,500.0,500.0,499.99999999999994,500.00000000000006,0.829575627747431,2.790745735368261,3.607392330953757,1.9448018269681595,-3.4136231743742083,-3.7122027443401175,80.88344128548158,272.3438590491559,352.3291127794174,189.91762919989696,-333.44082660874466,-362.4896596214441
0.010101010101010102,,1.815837349306995e+16,500.00837955179543,500.0281893508623,500.03643830637327,500.01964446289867,499.96551895783455,499.9625030025825,1.646580085176538,5.541693806571857,7.16627225801858,3.86316171787621,-6.781712332038296,-7.373714457688038,120.29793682700455,405.4221640651208,524.9195524551811,282.90835185411265,-496.832725256163,-539.9451713345289
0.020202020202020204,0.0,2.162416431940817e+16,500.03326424414496,500.11195341023375,500.1447731769297,500.0780436710682,499.8629957104638,499.85103607156196,3.259836977787927,10.98109248415858,14.211827734088729,7.660122066445183,-13.450647927023965,-14.62018600362353,157.5380733109705,532.1364241683624,690.3960701486976,371.9575808510108,-653.6320340983966,-709.7887914469302
0.030303030303030304,2.1050869578387604e-06,2.3559513744063644e+16,500.07423484427596,500.25002960306745,500.3235459373649,500.1743944036349,499.6937886966825,499.6671457095799,4.829167424792104,16.291924597851903,21.113667614557926,11.377456280522892,-19.986399889581662,-21.712881961666426,152.95493388599425,519.063439629912,676.2328337705601,364.0656404180772,-640.5683334496389,-694.4988242618253
0.04040404040404041,,3.963697260603667e+16,500.1308231820196,500.44108320008934,500.5713119166177,500.3078912726949,499.45923005612883,499.4123919915283,6.349835642151447,21.467222577692155,27.873097103190958,15.014983489032602,-26.391422340147983,-28.65046528164021,147.91263080334824,505.31662167399895,662.1904296462324,356.159476816816,-627.7321409982758,-679.0764986945412
0.05050505050505051,,8.093354050450458e+16,500.2025143521982,500.68371086726324,500.8866388081364,500.47772740341327,499.16062864940676,499.08834843116296,7.8173013804153015,26.500341197326634,34.491252051855554,18.572597226317157,-32.66785728348623,-35.4315991070107,142.4284957802975,490.92526295272205,648.2514708734891,348.24709340207494,-615.0913859323573,-663.5206544665436
0.06060606060606061,2.288635433937043e-05,3.423238085176955e+16,500.28874846243195,500.9764436283181,501.2681048873622,500.6830952570649,498.79927334333104,498.6966021105785,9.227178991248365,31.38490465754512,40.96908641376649,22.050278305236134,-38.81751094484207,-42.054922947630985,136.51620212328453,475.9139200644495,634.3974911755486,340.33764562026033,-602.61190078491,-647.8279827450533
0.07070707070707072,5.125194209922064e-05,1.6620281006589748e+16,500.38892200858703,501.3177493451934,501.7142971195256,500.92318757119574,498.3764365091069,498.2387540281805,10.575204453612969,36.11476382489127,47.30736298469492,25.44810521864565,-44.84183507712078,-48.51903310186026,130.1865338906391,460.30339495822204,620.6092614886529,332.441204271734,-590.2578951216451,-631.9934330985266
0.08080808080808081,4.982741193768958e-05,7.262248585872458e+16,500.5023889564444,501.70603481669974,502.22380919008333,501.19719839279514,497.89337768520744,497.7164196236723,11.857209978938045,40.68396314154961,53.506647251921095,28.76626222991763,-50.741912866491475,-54.82246705063153,123.4481155185531,444.1116655120243,606.8670882576612,324.568533811502,-577.9923940739959,-616.010593680367
0.09090909090909091,,8.429284276635949e+16,500.62846160412107,502.1396475904773,502.7952394882513,501.5043241819011,497.3513473602889,497.13122944129907,13.069105777220102,45.08671666351802,59.56730416161736,32.00504529564569,-56.518449098817655,-60.96369156004948,116.30809851509548,427.354759894057,593.1510926399278,316.7308840718051,-565.7776450143865,-599.8720459770589
0.10101010101010102,0.00029045471339873884,3.009966594007795e+16,500.76641129537813,502.6168775775789,503.4271890721362,501.8437649644243,496.7515908347262,496.4848298951864,14.20686853479856,49.31739263435884,65.48949760828327,35.164865948539955,-62.171764280923526,-66.94109424208727,108.77280238438652,410.0475702356307,579.4414699996155,308.9397939861392,-553.5754953308419,-583.5696953605943
0.11111111111111112,0.0004536174598170806,4.097084611558826e+16,500.91546904926855,503.1359585527876,504.118259641954,502.21472551419487,496.09535212229054,495.7788841030751,15.26653612841983,53.37050596120753,71.27319244443788,38.24625325496163,-67.70179243883467,-72.752978335011,100.84830746402258,392.2046020083094,565.7187292289059,301.20690609897997,-541.347743956554,-567.0950785989321
0.12121212121212122,0.00041545020169701845,3.048084074582694e+16,501.07482616665936,503.6950696171993,504.86705154576117,502.6164165453326,495.38387785616385,495.0150727571053,16.244208079526288,57.24071792745599,76.91815880482682,41.249853950539546,-73.10808234065189,-78.39756047640913,92.54099783731533,373.840656318569,551.9639116164471,293.54379087402026,-529.056468998519,-550.4396493673576
0.13131313131313133,0.0004616293893184225,2.57236248023741e+16,501.24363486905696,504.29233669273617,505.6721618400313,503.04805589703403,494.6184211659137,494.1950950025415,17.136051236244384,60.92284245249175,82.42397853769944,44.176430848376185,-78.38980191355222,-83.87297125152327,83.85805291644272,354.9714431333391,538.1587891384384,285.96178002531633,-516.6643335655185,-533.5950427218281
0.14141414141414144,,3.0915709518357332e+16,501.4210090199168,504.9258341111891,506.5321824253107,503.5088696937846,493.8002454942739,493.3206692974786,17.938310158646345,64.41185819277598,87.79005353489629,47.02685960761664,-83.54574564500581,-89.17725830917334,74.80788671201299,335.6141241808941,524.2860421861915,278.471808304801,-504.1348716619741,-516.5533194271238
0.15151515151515152,,1.391078190425983e+17,501.60602497327204,505.5935863531964,507.44569827507974,503.99809346486467,492.93062832460043,492.3935342286188,18.64732167487091,67.7029257692775,93.0156157535821,49.80212394544287,-88.57434477541028,-94.30839184601064,65.40053420216293,315.7877849648962,510.3294169036044,271.08426338782056,-491.4327557678371,-499.3071909319942
0.16161616161616163,,1.5877578339905226e+17,501.7977225891061,506.29356998531586,508.41128577386786,504.514973207834,492.0108647917403,491.4154492601854,19.25953307182135,70.79140940418802,98.09973872486808,52.50330937302715,-93.47368010496211,-99.26427226739543,55.64798459427766,295.51383600899453,496.27386243365345,263.8088436946073,-478.52404754338113,-481.85022572744583
0.17171717171717174,,9.736658646252178e+16,501.9951064494704,507.02371583610926,509.4275111786124,505.05876638149147,491.0422711507628,490.3881953949341,19.771523383846215,73.6729022543077,103.04135034820138,55.13159553523292,-98.24149725103416,-104.04273984050451,45.56446162573775,274.8163440541175,482.10564850232913,256.6544241541869,-465.37643289512835,-464.177037754871
